code,name,country,city
AAH,Aachen-Merzbrück Airport,Germany,Aachen
AAT,Altay Air Base,China,Altay
ABH,Alpha Airport,Australia,Alpha
ABM,Northern Peninsula Airport,Australia,Bamaga
ABX,Albury Airport,Australia,Albury
ACF,Brisbane Archerfield Airport,Australia,Brisbane
ACX,Xingyi Airport,China,Xingyi
ADL,Adelaide International Airport,Australia,Adelaide
ADO,Andamooka Airport,Australia,Roxby Downs
AEB,Baise Youjiang Airport,China,Baise
AEQ,Ar Horqin Airport,China,Chifeng
AGB,Augsburg Airport,Germany,Augsburg
AGE,Wangerooge Airport,Germany,Wangerooge
AGJ,Aguni Airport,Japan,Aguni
AGW,Agnew Airport,Australia,Agnew
AGY,Argyle Downs Airport,Australia,Argyle Downs
AHJ,Hongyuan Airport,China,Aba
AKA,Ankang Wulipu Airport,China,Ankang
AKJ,Asahikawa Airport,Japan,Asahikawa / Hokkaidō
AKU,Aksu Airport,China,Aksu
ALH,Albany Airport,Australia,Albany
ANZ,Angus Downs Airport,Australia,Angus Downs Station
AOC,Altenburg-Nobitz Airport,Germany,Altenburg
AOG,Anshan Air Base,China,Anshan
AOJ,Aomori Airport,Japan,Aomori
AQG,Anqing Tianzhushan Airport,China,Anqing
ARM,Armidale Airport,Australia,Armidale
ARY,Ararat Airport,Australia,Ararat
ASJ,Amami Airport,Japan,Amami
ASP,Alice Springs Airport,Australia,Alice Springs
AUU,Aurukun Airport,Australia,Aurukun
AVA,Anshun Huangguoshu Airport,China,Anshun
AVV,Avalon Airport,Australia,Melbourne
AXF,Alxa Left Banner Bayanhot Airport,China,Bayanhot
AXJ,Amakusa Airport,Japan,Hondo
AXT,Akita Airport,Japan,Akita
AYD,Alroy Downs Airport,Australia,Alroy Downs
AYN,Anyang Airport,China,Anyang
AYQ,Ayers Rock Connellan Airport,Australia,Ayers Rock
AYR,Ayr Airport,Australia,Ayr
BAO,Udorn Air Base,Thailand,Ban Mak Khaen
BAR,Qionghai Bo'ao Airport,China,Qionghai
BAV,Baotou Airport,China,Baotou
BBE,Big Bell Airport,Australia,Big Bell
BBH,Barth Airport,Germany,Barth
BBJ,Bitburg Airport,Germany,Bitburg
BCI,Barcaldine Airport,Australia,Barcaldine
BCZ,Milyakburra Airport,Australia,Bickerton Island
BDB,Bundaberg Airport,Australia,Bundaberg
BDD,Badu Island Airport,Australia,Thursday Island
BEE,Beagle Bay Airport,Australia,Beagle Bay
BEO,Lake Macquarie Airport,Australia,Newcastle
BER,Airport Berlin Brandenburg,Germany,Berlin
BFC,Bloomfield River Airport,Australia,Cooktown
BFE,Bielefeld Airport,Germany,Bielefeld
BFJ,Bijie Feixiong Airport,China,Bijie
BFU,Bengbu Airport,China,Bengbu
BFV,Buri Ram Airport,Thailand,Satuek
BHQ,Broken Hill Airport,Australia,Broken Hill
BHS,Bathurst Airport,Australia,Bathurst
BHY,Beihai Airport,China,Beihai
BKK,Suvarnabhumi Airport,Thailand,Bangkok
BKQ,Blackall Airport,Australia,Blackall
BLN,Benalla Airport,Australia,Benalla
BLT,Blackwater Airport,Australia,Blackwater
BME,Broome International Airport,Australia,Broome
BMK,Borkum Airport,Germany,Borkum
BMP,Brampton Island Airport,Australia,Mackay
BMR,Baltrum Airport,Germany,Baltrum
BMV,Buon Ma Thuot Airport,Vietnam,Buon Ma Thuot
BNE,Brisbane International Airport,Australia,Brisbane
BNJ,Bonn-Hangelar Airport,Germany,Bonn
BNK,Ballina Byron Gateway Airport,Australia,Ballina
BPE,Qinhuangdao Beidaihe Airport,China,Qinhuangdao
BPL,Alashankou Bole (Bortala) airport,China,Bole
BPX,Qamdo Bangda Airport,China,Bangda
BQB,Busselton Regional Airport,Australia,Busselton
BQW,Balgo Hill Airport,Australia,Balgo
BRE,Bremen Airport,Germany,Bremen
BRK,Bourke Airport,Australia,Bourke
BSJ,Bairnsdale Airport,Australia,Bairnsdale
BUY,Bunbury Airport,Australia,Capel
BWE,Braunschweig-Wolfsburg Airport,Germany,Braunschweig
BWT,Wynyard Airport,Australia,Burnie
BWU,Sydney Bankstown Airport,Australia,Sydney
BXF,Bellburn Airstrip,Australia,Pumululu National Park
BXG,Bendigo Airport,Australia,Bendigo
BYU,Bayreuth Airport,Germany,Bayreuth
BYX,Baniyala Airport,Australia,Baniyala
BZP,Bizant Airport,Australia,Lakefield National Park
BZX,Bazhong Enyang Airport,China,Bazhong
CAH,Cà Mau Airport,Vietnam,Ca Mau City
CAN,Guangzhou Baiyun International Airport,China,Guangzhou
CAZ,Cobar Airport,Australia,Cobar
CBR,Canberra International Airport,Australia,Canberra
CBU,Cottbus-Drewitz Airport,Germany,Cottbus
CBX,Condobolin Airport,Australia,Condobolin
CBY,Canobie Airport,Australia,Canobie
CCL,Chinchilla Airport,Australia,Chinchilla
CDE,Chengde Puning Airport,China,Chengde
CDU,Camden Airport,Australia,Campbelltown
CEI,Chiang Rai International Airport,Thailand,Chiang Rai
CES,Cessnock Airport,Australia,Cessnock
CFH,Clifton Hills Airport,Australia,Clifton Hills
CFP,Carpentaria Downs Airport,Australia,Carpentaria Downs
CFS,Coffs Harbour Airport,Australia,Coffs Harbour
CGD,Changde Airport,China,Changde
CGN,Cologne Bonn Airport,Germany,Cologne
CGO,Zhengzhou Xinzheng International Airport,China,Zhengzhou
CGQ,Longjia Airport,China,Changchun
CHF,Jinhae Airbase/Airport (G-813/K-10),South Korea,Jinhae
CHG,Chaoyang Airport,China,Chaoyang
CHN,Jeon Ju Airport (G-703),South Korea,Jeon Ju
CIE,Collie Airport,Australia,Collie
CIF,Chifeng Airport,China,Chifeng
CIH,Changzhi Airport,China,Changzhi
CJF,Coondewanna Airport,Australia,Coondewanna
CJJ,Cheongju International Airport/Cheongju Air Base (K-59/G-513),South Korea,Cheongju
CJM,Chumphon Airport,Thailand,Chumphon
CJU,Jeju International Airport,South Korea,Jeju City
CKG,Chongqing Jiangbei International Airport,China,Chongqing
CKW,Graeme Rowley Aerodrome,Australia,Christmas Creek Mine
CLH,Coolah Airport,Australia,Coonabarabran
CMD,Cootamundra Airport,Australia,Cootamundra
CMJ,Chi Mei Airport,Taiwan,Chi Mei
CNB,Coonamble Airport,Australia,Coonamble
CNI,Changhai Airport,China,Changhai
CNJ,Cloncurry Airport,Australia,Cloncurry
CNS,Cairns International Airport,Australia,Cairns
CNX,Chiang Mai International Airport,Thailand,Chiang Mai
COB,Coolibah Airport,Australia,Coolibah
COJ,Coonabarabran Airport,Australia,Coonabarabran
COY,Coolawanyah Airport,Australia,Coolawanyah Station
CQP,Cape Flattery Airport,Australia,Cooktown
CRB,Collarenebri Airport,Australia,Lightning Ridge
CRH,Cherrabah Airport,Australia,Cherrabah Homestead Resort
CRJ,Coorabie Airport,Australia,Coorabie
CRY,Carlton Hill Airport,Australia,Carlton Hill
CSD,Cresswell Downs Airport,Australia,Cresswell Downs
CSI,Casino Airport,Australia,Casino
CSO,Cochstedt Airport,Germany,Magdeburg
CSX,Changsha Huanghua International Airport,China,Changsha
CTL,Charleville Airport,Australia,Charleville
CTN,Cooktown Airport,Australia,Cooktown
CTS,New Chitose Airport,Japan,Chitose / Tomakomai
CTU,Chengdu Shuangliu International Airport,China,Chengdu
CUD,Caloundra Airport,Australia,Caloundra
CUG,Cudal Airport,Australia,Molong
CUQ,Coen Airport,Australia,Coen
CVQ,Carnarvon Airport,Australia,Carnarvon
CWJ,Cangyuan Washan Airport,China,Cangyuan Va Autonomous County
CWT,Cowra Airport,Australia,Cowra
CXQ,Christmas Creek Station Airport,Australia,Christmas Creek
CXR,Cam Ranh Airport,Vietnam,Nha Trang
CXT,Charters Towers Airport,Australia,Charters Towers
CYG,Corryong Airport,Australia,Jindabyne
CYI,Chiayi Airport,Taiwan,Chiayi City
CZX,Changzhou Benniu Airport,China,Changzhou
DAD,Da Nang International Airport,Vietnam,Da Nang
DAT,Datong Airport,China,Datong
DAX,Dachuan Airport,China,Dazhou
DBC,Baicheng Chang'an Airport,China,Baicheng
DBO,Dubbo City Regional Airport,Australia,Dubbo
DBY,Dalby Airport,Australia,Dalby
DCN,RAAF Base Curtin,Australia,Derby
DCY,Daocheng Yading Airport,China,Daocheng County
DDG,Dandong Airport,China,Dandong
DFP,Drumduff Airport,Australia,Drumduff
DGD,Dalgaranga Gold Mine Airport,Australia,Melville
DGE,Mudgee Airport,Australia,Mudgee
DIG,Diqing Airport,China,Shangri-La
DIN,Dien Bien Phu Airport,Vietnam,Dien Bien Phu
DKI,Dunk Island Airport,Australia,Dunk Island
DLC,Zhoushuizi Airport,China,Dalian
DLI,Lien Khuong Airport,Vietnam,Da Lat
DLK,Dulkaninna Airport,Australia,Dulkaninna
DLU,Dali Airport,China,Xiaguan
DLV,Delissaville Airport,Australia,Darwin
DMK,Don Mueang International Airport,Thailand,Bangkok
DNA,Kadena Air Base,Japan,Okinawa
DNH,Dunhuang Airport,China,Dunhuang
DNQ,Deniliquin Airport,Australia,Deniliquin
DOX,Dongara Airport,Australia,Geraldton
DOY,Dongying Shengli Airport,China,Dongying
DPO,Devonport Airport,Australia,Devonport
DQA,Saertu Airport,China,Daqing Shi
DRB,Derby Airport,Australia,Derby
DRD,Dorunda Airport,Australia,Dorunda Outstation
DRS,Dresden Airport,Germany,Dresden
DRW,Darwin International Airport,Australia,Darwin
DSN,Ordos Ejin Horo Airport,China,Ordos
DSX,Dongsha Island Airport,Taiwan,Pratas Island
DTM,Dortmund Airport,Germany,Dortmund
DTU,Wudalianchi Dedu Airport,China,Wudalianchi
DUS,Düsseldorf Airport,Germany,Düsseldorf
DXD,Dixie Airport,Australia,New Dixie
DYG,Dayong Airport,China,Dayong
DYM,Diamantina Lakes Airport,Australia,Diamantina Lakes
DYW,Daly Waters Airport,Australia,Daly Waters
DZU,Dazu Air Base,China,Dazu
EDR,Pormpuraaw Airport,Australia,Pormpuraaw
EIB,Eisenach-Kindel Airport,Germany,Eisenach
EIH,Einasleigh Airport,Australia,Einasleigh
EJN,Ejin Banner-Taolai Airport,China,Ejin Banner
ELC,Elcho Island Airport,Australia,Elcho Island
EMD,Emerald Airport,Australia,Emerald
EME,Emden Airport,Germany,Emden
ENB,Eneabba Airport,Australia,Eneabba
ENH,Enshi Airport,China,Enshi
ENY,Yan'an Ershilipu Airport,China,Yan'an
EPR,Esperance Airport,Australia,Esperance
ERF,Erfurt Airport,Germany,Erfurt
ERL,Erenhot Saiwusu International Airport,China,Erenhot
ERQ,Elrose Airport,Australia,Elrose Mine
ESS,Essen Mulheim Airport,Germany,Mülheim an der Ruhr
ETD,Etadunna Airport,Australia,Etadunna
EUM,Neumünster Airport,Germany,Neumünster
EVD,Eva Downs Airport,Australia,Eva Downs
EVH,Evans Head Aerodrome,Australia,Evans Head
FCN,Nordholz Naval Airbase,Germany,Cuxhaven
FDH,Friedrichshafen Airport,Germany,Friedrichshafen
